location,month,year,temp_type,20,21,22,23,24,25,26,27
Tucson,January,2021,max_temp,67.543884,62.07189,66.73389,63.871887,50.13789,49.84989,44.55789,60.469887
Tucson,January,2021,min_temp,39.985893,50.98389,46.015892,37.897892,42.757893,34.49589,37.44789,29.509892
